original_filename,new_filename,width,height,orig_kb,new_kb
660430143_913988548064086_5587463047084580727_n.jpg,ramos-cabinetry-construction-mesa-az-project-104,1500,2000,149,82
662903834_913988551397419_871784430858123545_n.jpg,ramos-cabinetry-construction-mesa-az-project-105,1500,2000,112,50
669300474_922364183893189_7580116820460133523_n.jpg,ramos-cabinetry-construction-mesa-az-project-106,1500,2000,267,230
682573232_938382295624711_3194492826915239855_n.jpg,ramos-cabinetry-construction-mesa-az-project-107,1500,2000,314,212
682884537_938382285624712_5412093939441706268_n.jpg,ramos-cabinetry-construction-mesa-az-project-108,1500,2000,286,188
683904389_938920042237603_8082885157011382075_n.jpg,ramos-cabinetry-construction-mesa-az-project-109,1500,2000,198,131
683920710_938920005570940_4697666042455036799_n.jpg,ramos-cabinetry-construction-mesa-az-project-110,1500,2000,210,135
684867324_938920012237606_3754983247822638923_n.jpg,ramos-cabinetry-construction-mesa-az-project-111,1500,2000,337,269
687038134_939107032218904_2670537519014270464_n.jpg,ramos-cabinetry-construction-mesa-az-project-112,1500,2000,249,171
687652250_938920055570935_4503789679755683254_n.jpg,ramos-cabinetry-construction-mesa-az-project-113,1500,2000,355,273
688355996_939107025552238_2741917612351421014_n.jpg,ramos-cabinetry-construction-mesa-az-project-114,2000,1500,223,138
688852599_940348118761462_7127708172302442045_n.jpg,ramos-cabinetry-construction-mesa-az-project-115,1500,2000,171,101
689596293_940348142094793_9009226737243546610_n.jpg,ramos-cabinetry-construction-mesa-az-project-116,1500,2000,174,100
690321073_940348108761463_5398224099781462204_n.jpg,ramos-cabinetry-construction-mesa-az-project-117,1500,2000,189,109
690404703_945505868245687_5490934545752814186_n.jpg,ramos-cabinetry-construction-mesa-az-project-118,2000,2000,353,232
690638566_945505821579025_9184679076267788767_n.jpg,ramos-cabinetry-construction-mesa-az-project-119,2000,2000,213,114
690640494_945505814912359_4371806588511591835_n.jpg,ramos-cabinetry-construction-mesa-az-project-120,2000,2000,220,118
695815272_945505861579021_2593468838698405993_n.jpg,ramos-cabinetry-construction-mesa-az-project-121,2000,2000,384,276
706055007_961216753341265_2309257108206258291_n.jpg,ramos-cabinetry-construction-mesa-az-project-122,2000,1500,354,247
708277509_961216160007991_5480085712522578727_n.jpg,ramos-cabinetry-construction-mesa-az-project-123,1500,2000,212,138
708794514_961216140007993_261006900352569285_n.jpg,ramos-cabinetry-construction-mesa-az-project-124,1500,2000,249,167
709845827_961216763341264_7617070927352081409_n.jpg,ramos-cabinetry-construction-mesa-az-project-125,1500,2000,276,186
710613721_961216146674659_3555670919185404201_n.jpg,ramos-cabinetry-construction-mesa-az-project-126,1500,2000,278,199
710827460_964745999655007_5692298359232260225_n.jpg,ramos-cabinetry-construction-mesa-az-project-127,1500,2000,307,204
712007278_964746019655005_8305316192061557886_n.jpg,ramos-cabinetry-construction-mesa-az-project-128,1500,2000,259,196
712504090_966374999492107_161181030558092166_n.jpg,ramos-cabinetry-construction-mesa-az-project-129,1500,2000,239,172
713305257_966377606158513_2285250220594863142_n.jpg,ramos-cabinetry-construction-mesa-az-project-130,1206,1995,183,125
713744914_966375042825436_3073908177986522354_n.jpg,ramos-cabinetry-construction-mesa-az-project-131,1500,2000,212,138
713824342_966377632825177_8564811118578042058_n.jpg,ramos-cabinetry-construction-mesa-az-project-132,1206,1788,96,57
713824350_966374972825443_8527425748430707907_n.jpg,ramos-cabinetry-construction-mesa-az-project-133,1500,2000,188,122
714671155_966375099492097_3856339607958044309_n.jpg,ramos-cabinetry-construction-mesa-az-project-134,1500,2000,252,173
714722736_966375016158772_2944723020425325254_n.jpg,ramos-cabinetry-construction-mesa-az-project-135,1500,2000,249,167
714729976_966377596158514_4122601527015549468_n.jpg,ramos-cabinetry-construction-mesa-az-project-136,1206,1409,168,119
714765757_966379712824969_7305040347099750640_n.jpg,ramos-cabinetry-construction-mesa-az-project-137,1500,2000,203,122
714768481_967263636069910_8631700744923384530_n.jpg,ramos-cabinetry-construction-mesa-az-project-138,1500,2000,230,157
714840122_966374962825444_57024893429415614_n.jpg,ramos-cabinetry-construction-mesa-az-project-139,1500,2000,176,101
715353816_966379719491635_234923512816963190_n.jpg,ramos-cabinetry-construction-mesa-az-project-140,1500,2000,193,123
715413189_966375059492101_6795155285040046581_n.jpg,ramos-cabinetry-construction-mesa-az-project-141,1500,2000,346,296
716251010_967263672736573_4306040426687257321_n.jpg,ramos-cabinetry-construction-mesa-az-project-142,1500,2000,287,206
716574350_967263662736574_7861449505710108470_n.jpg,ramos-cabinetry-construction-mesa-az-project-143,1500,2000,168,92
716574365_966375089492098_8053144615339743909_n.jpg,ramos-cabinetry-construction-mesa-az-project-144,1500,2000,141,79
716591280_967263639403243_2157101338761457826_n.jpg,ramos-cabinetry-construction-mesa-az-project-145,1500,2000,185,114
716695327_966379759491631_2418927097193814915_n.jpg,ramos-cabinetry-construction-mesa-az-project-146,1500,2000,193,117
720087231_971646535631620_7351588245563421365_n.jpg,ramos-cabinetry-construction-mesa-az-project-147,1500,2000,150,91
720776604_971646552298285_181975099209418937_n.jpg,ramos-cabinetry-construction-mesa-az-project-148,1500,2000,229,147
732151524_987020917427515_4239268439417624851_n.jpg,ramos-cabinetry-construction-mesa-az-project-149,720,960,43,29
735877653_989158827213724_2271469393919640247_n.jpg,ramos-cabinetry-construction-mesa-az-project-150,2000,1500,126,99
736173007_989158837213723_5026991575546266535_n.jpg,ramos-cabinetry-construction-mesa-az-project-151,1500,2000,122,99
736384782_989159193880354_8821836093730217890_n.jpg,ramos-cabinetry-construction-mesa-az-project-152,1500,2000,139,110
736397066_989159207213686_6899699009045787087_n.jpg,ramos-cabinetry-construction-mesa-az-project-153,1500,2000,143,117
738638751_995349326594674_5244498848381959197_n.jpg,ramos-cabinetry-construction-mesa-az-project-154,1500,2000,109,91
740741047_995354766594130_2469354064508322182_n.jpg,ramos-cabinetry-construction-mesa-az-project-155,768,1152,83,70
741121144_994751366654470_4035339318541465159_n.jpg,ramos-cabinetry-construction-mesa-az-project-156,1500,2000,203,147
741215442_995349293261344_862193245177139179_n.jpg,ramos-cabinetry-construction-mesa-az-project-157,1500,2000,131,110
741510095_995349306594676_3958805122518617495_n.jpg,ramos-cabinetry-construction-mesa-az-project-158,1500,2000,125,99
748216131_1002479375881669_2552201319480420150_n.jpg,ramos-cabinetry-construction-mesa-az-project-159,1500,2000,228,252
749084989_1002477455881861_6975909499638210485_n.jpg,ramos-cabinetry-construction-mesa-az-project-160,1500,2000,151,126
749184164_1003333585796248_4829496015912583244_n.jpg,ramos-cabinetry-construction-mesa-az-project-161,2000,1500,149,109
749286538_1002479382548335_5542174873764111451_n.jpg,ramos-cabinetry-construction-mesa-az-project-162,1500,2000,199,203
749355214_1003333542462919_6887863555406135020_n.jpg,ramos-cabinetry-construction-mesa-az-project-163,1280,960,93,61
749542630_1002478182548455_1752102173474428069_n.jpg,ramos-cabinetry-construction-mesa-az-project-164,1500,2000,161,157
749981941_1002477452548528_4984294877787854593_n.jpg,ramos-cabinetry-construction-mesa-az-project-165,1500,2000,226,243
749981946_1002478232548450_3321509346297031347_n.jpg,ramos-cabinetry-construction-mesa-az-project-166,1500,2000,174,161
750554153_1003333552462918_7965502193417032660_n.jpg,ramos-cabinetry-construction-mesa-az-project-167,2000,1500,208,181
